ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1737211	0.2722	0.1084382	1.665.004	-4.746.383	0.4468055	571330727	ZNF585A	zinc finger protein 585A
ILMN_1737685	0.2722	0.10846158	-1.664.888	-47.465.527	-0.241765	1021087278	CRLS1	cardiolipin synthase 1
ILMN_1794017	0.2722	0.10848124	-166.479	-47.466.953	-0.2156605	153792059	SERTAD1	SERTA domain containing 1
ILMN_1746856	0.2726	0.1086447	-1.663.979	-47.478.804	-0.2067199	952556264	RAB21	RAB21, member RAS oncogene family
ILMN_1713752	0.2731	0.1088699	1.662.863	-47.495.097	0.3915117	1016470413	SERINC3	serine incorporator 3
ILMN_1751020	0.2733	0.10899489	1.662.245	-47.504.125	0.4654156	406869265	PACSIN1	protein kinase C and casein kinase substrate in neurons 1
ILMN_2117809	0.2733	0.1090342	166.205	-47.506.961	0.3196305	NA		
ILMN_1678004	0.2733	0.10907369	1.661.855	-4.750.981	0.2362747	345525394	TMEM41B	transmembrane protein 41B
ILMN_1810531	0.2733	0.10911893	1.661.632	-47.513.072	0.2067599	372266189	DRG2	developmentally regulated GTP binding protein 2
ILMN_1781184	0.2733	0.10912761	-1.661.589	-47.513.698	-0.4119925	148596956	MYBPC3	myosin binding protein C, cardiac
ILMN_1757343	0.2733	0.10912987	-1.661.577	-47.513.861	-0.5245387	208431834	PABPC4	poly(A) binding protein cytoplasmic 4
ILMN_1713491	0.2735	0.10921824	-1.661.141	-47.520.228	-0.8551292	172072619	VAMP2	vesicle associated membrane protein 2
ILMN_1661342	0.2735	0.10922185	-1.661.123	-47.520.488	-0.8815414	156671209	Sep-06	septin 6
ILMN_2342271	0.2735	0.10925697	-166.095	-47.523.016	-0.3842435	NA		
ILMN_1772369	0.2735	0.10930519	1.660.712	-47.526.487	0.2405827	291084749	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1
ILMN_2407168	0.2735	0.10930747	1.660.701	-47.526.651	0.3782205	66737369	S100A13	S100 calcium binding protein A13
ILMN_1771126	0.2736	0.10939164	-1.660.285	-47.532.705	-0.5614942	48255917	RORC	RAR related orphan receptor C
ILMN_1799708	0.2736	0.10942172	1.660.137	-47.534.867	0.7216713	815891059	GYPA	glycophorin A (MNS blood group)
ILMN_1654552	0.2738	0.10952942	1.659.606	-47.542.603	0.1860395	186928853	MRPS31	mitochondrial ribosomal protein S31
ILMN_1701127	0.2738	0.10955453	1.659.483	-47.544.406	0.2746429	224586780	CC2D1A	coiled-coil and C2 domain containing 1A
ILMN_1798172	0.2741	0.10966655	-1.658.931	-47.552.441	-0.8420616	62460636	IPO4	importin 4
ILMN_2157441	0.2741	0.1097025	1.658.754	-47.555.019	0.2383093	301171411	HLA-DRA	major histocompatibility complex, class II, DR alpha
ILMN_1716465	0.2746	0.10991173	1.657.726	-47.569.999	0.3679661	211057414	RBP7	retinol binding protein 7
ILMN_2126423	0.2746	0.10994465	1.657.564	-47.572.353	0.3431079	662236786	ZNF480	zinc finger protein 480
ILMN_2319588	0.2747	0.11002782	-1.657.156	-47.578.296	-0.6642662	NA		
ILMN_1660533	0.2747	0.11004956	-165.705	-47.579.849	-0.1807649	62739176	RPN1	ribophorin I
